ID,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Country,Monetary,Frequency,Recency
,,,,,,,,,,,,,0,0,
1826,6/16/2014,189,104,379,111,189,218,4,4,6,1,SP,1190,14,0
,,,,,,,,,,,,,0,0,
1,6/15/2014,464,5,64,7,0,37,7,3,7,5,CA,577,17,0
,,,,,,,,,,,,,0,0,
10476,5/13/2014,134,11,59,15,2,30,3,2,5,2,US,251,10,0
,,,,,,,,,,,,,0,0,
1386,5/11/2014,10,0,1,0,0,0,1,0,2,7,AUS,11,3,0
,,,,,,,,,,,,,0,0,
5371,4/8/2014,6,16,24,11,0,34,3,1,2,7,SP,91,6,0
,,,,,,,,,,,,,0,0,
7348,3/17/2014,336,130,411,240,32,43,4,7,5,2,SP,1192,16,0
,,,,,,,,,,,,,0,0,
4073,1/29/2014,769,80,252,15,34,65,10,10,7,6,GER,1215,27,0
,,,,,,,,,,,,,0,0,
1991,1/18/2014,78,0,11,0,0,7,2,1,3,5,SP,96,6,0
,,,,,,,,,,,,,0,0,
4047,1/11/2014,384,0,102,21,32,5,6,2,9,4,US,544,17,0
,,,,,,,,,,,,,0,0,
9477,1/11/2014,384,0,102,21,32,5,6,2,9,4,IND,544,17,0
,,,,,,,,,,,,,0,0,
2079,12/27/2013,450,26,535,73,98,26,5,6,10,1,US,1208,21,0
,,,,,,,,,,,,,0,0,
5642,12/9/2013,140,4,61,0,13,4,3,1,6,4,SP,222,10,0
,,,,,,,,,,,,,0,0,
10530,12/7/2013,431,82,441,80,20,102,3,6,6,1,IND,1156,15,0
,,,,,,,,,,,,,0,0,
2964,10/16/2013,3,10,8,3,16,32,1,1,2,6,CA,72,4,0
,,,,,,,,,,,,,0,0,
10311,10/5/2013,16,4,12,2,4,321,25,0,0,1,SP,359,25,0
,,,,,,,,,,,,,0,0,
837,9/11/2013,63,6,57,13,13,22,2,1,5,4,SP,174,8,0
,,,,,,,,,,,,,0,0,
10521,9/11/2013,63,6,57,13,13,22,2,1,5,4,SP,174,8,0
,,,,,,,,,,,,,0,0,
10175,8/1/2013,18,0,2,0,0,2,1,0,3,4,SP,22,4,0
,,,,,,,,,,,,,0,0,
1473,7/23/2013,53,1,5,2,1,10,2,0,3,8,CA,72,5,0
,,,,,,,,,,,,,0,0,
2795,7/1/2013,5,0,3,0,0,5,1,0,2,7,CA,13,3,0
,,,,,,,,,,,,,0,0,
2285,5/28/2013,213,9,76,4,3,30,5,2,5,7,SA,335,12,0
,,,,,,,,,,,,,0,0,
115,3/26/2013,275,11,68,25,7,7,5,1,8,5,IND,393,14,0
,,,,,,,,,,,,,0,0,
10470,3/15/2013,40,2,23,0,4,23,2,1,3,4,GER,92,6,0
,,,,,,,,,,,,,0,0,
4065,2/12/2013,308,0,73,0,0,23,5,1,8,7,SP,404,14,0
,,,,,,,,,,,,,0,0,
10968,11/23/2012,266,21,300,65,8,44,8,8,6,6,IND,704,22,0
,,,,,,,,,,,,,0,0,
5985,10/13/2012,80,1,37,0,1,3,2,1,4,7,SP,122,7,0
,,,,,,,,,,,,,0,0,
5430,9/14/2012,454,0,171,8,19,32,9,2,8,8,SP,684,19,0
